pokemon_id,pokemon_name,base_attack,base_defense,base_stamina,tipo,subtipo,imagen
29,Nidoran♀,86,89,146,Poison,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/72/latest/20230319130644/Nidoran_hembra_icono_HOME.png/48px-Nidoran_hembra_icono_HOME.png
30,Nidorina,117,120,172,Poison,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c8/latest/20230319132212/Nidorina_icono_HOME.png/48px-Nidorina_icono_HOME.png
31,Nidoqueen,180,173,207,Poison,Ground,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a4/latest/20230319124435/Nidoqueen_icono_HOME.png/48px-Nidoqueen_icono_HOME.png
32,Nidoran♂,105,76,130,Poison,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b8/latest/20230319125804/Nidoran_macho_icono_HOME.png/48px-Nidoran_macho_icono_HOME.png
33,Nidorino,137,111,156,Poison,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/50/latest/20230319125740/Nidorino_icono_HOME.png/48px-Nidorino_icono_HOME.png
34,Nidoking,204,156,191,Poison,Ground,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/96/latest/20230319130223/Nidoking_icono_HOME.png/48px-Nidoking_icono_HOME.png
35,Clefairy,107,108,172,Fairy,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f0/latest/20230319130321/Clefairy_icono_HOME.png/48px-Clefairy_icono_HOME.png
36,Clefable,178,162,216,Fairy,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/87/latest/20230319125159/Clefable_icono_HOME.png/48px-Clefable_icono_HOME.png
37,Vulpix,96,109,116,Ice,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/dc/latest/20230917181243/Vulpix_icono_HOME.png/48px-Vulpix_icono_HOME.png
38,Ninetales,170,193,177,Ice,Fairy,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/67/latest/20230917181245/Ninetales_icono_HOME.png/48px-Ninetales_icono_HOME.png
39,Jigglypuff,80,41,251,Normal,Fairy,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/04/latest/20230319130929/Jigglypuff_icono_HOME.png/48px-Jigglypuff_icono_HOME.png
40,Wigglytuff,156,90,295,Normal,Fairy,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b7/latest/20230319132059/Wigglytuff_icono_HOME.png/48px-Wigglytuff_icono_HOME.png
41,Zubat,83,73,120,Poison,Flying,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/bb/latest/20230319125153/Zubat_icono_HOME.png/48px-Zubat_icono_HOME.png
42,Golbat,161,150,181,Poison,Flying,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f4/latest/20230319132745/Golbat_icono_HOME.png/48px-Golbat_icono_HOME.png
43,Oddish,131,112,128,Grass,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8f/latest/20231230143626/Oddish_icono_HOME.png/48px-Oddish_icono_HOME.png
44,Gloom,153,136,155,Grass,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8f/latest/20231230143708/Gloom_icono_HOME.png/48px-Gloom_icono_HOME.png
45,Vileplume,202,167,181,Grass,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8e/latest/20231230143520/Vileplume_icono_HOME.png/48px-Vileplume_icono_HOME.png
46,Paras,121,99,111,Bug,Grass,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/bf/latest/20230319131308/Paras_icono_HOME.png/48px-Paras_icono_HOME.png
47,Parasect,165,146,155,Bug,Grass,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e1/latest/20230319125923/Parasect_icono_HOME.png/48px-Parasect_icono_HOME.png
48,Venonat,100,100,155,Bug,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/70/latest/20230319132811/Venonat_icono_HOME.png/48px-Venonat_icono_HOME.png
49,Venomoth,179,143,172,Bug,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/31/latest/20230319131545/Venomoth_icono_HOME.png/48px-Venomoth_icono_HOME.png
50,Diglett,108,81,67,Ground,Steel,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7f/latest/20230319131841/Diglett_icono_HOME.png/48px-Diglett_icono_HOME.png
51,Dugtrio,201,142,111,Ground,Steel,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/43/latest/20230319124557/Dugtrio_icono_HOME.png/48px-Dugtrio_icono_HOME.png
52,Meowth,99,78,120,Dark,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b3/latest/20230319130003/Meowth_icono_HOME.png/48px-Meowth_icono_HOME.png
53,Persian,158,136,163,Dark,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/ba/latest/20230319132621/Persian_icono_HOME.png/48px-Persian_icono_HOME.png
54,Psyduck,122,95,137,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/1d/latest/20230319132342/Psyduck_icono_HOME.png/48px-Psyduck_icono_HOME.png
55,Golduck,191,162,190,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/6f/latest/20230319130025/Golduck_icono_HOME.png/48px-Golduck_icono_HOME.png
56,Mankey,148,82,120,Fighting,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/7c/latest/20230319124828/Mankey_icono_HOME.png/48px-Mankey_icono_HOME.png
57,Primeape,207,138,163,Fighting,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c3/latest/20230319130915/Primeape_icono_HOME.png/48px-Primeape_icono_HOME.png
58,Growlithe,142,92,155,Fire,Rock,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b6/latest/20230319124243/Growlithe_icono_HOME.png/48px-Growlithe_icono_HOME.png
59,Arcanine,232,165,216,Fire,Rock,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/cd/latest/20230319124411/Arcanine_icono_HOME.png/48px-Arcanine_icono_HOME.png
60,Poliwag,101,82,120,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/cd/latest/20230917181237/Poliwag_icono_HOME.png/48px-Poliwag_icono_HOME.png
61,Poliwhirl,130,123,163,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/30/latest/20230917181248/Poliwhirl_icono_HOME.png/48px-Poliwhirl_icono_HOME.png
62,Poliwrath,182,184,207,Water,Fighting,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8f/latest/20230917181253/Poliwrath_icono_HOME.png/48px-Poliwrath_icono_HOME.png
63,Abra,195,82,93,Psychic,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/af/latest/20230319130010/Abra_icono_HOME.png/48px-Abra_icono_HOME.png
64,Kadabra,232,117,120,Psychic,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/68/latest/20230319132558/Kadabra_icono_HOME.png/48px-Kadabra_icono_HOME.png
65,Alakazam,271,167,146,Psychic,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d9/latest/20230319125719/Alakazam_icono_HOME.png/48px-Alakazam_icono_HOME.png
66,Machop,137,82,172,Fighting,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f2/latest/20230319132506/Machop_icono_HOME.png/48px-Machop_icono_HOME.png
67,Machoke,177,125,190,Fighting,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a7/latest/20230319131557/Machoke_icono_HOME.png/48px-Machoke_icono_HOME.png
68,Machamp,234,159,207,Fighting,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/1e/latest/20230319125844/Machamp_icono_HOME.png/48px-Machamp_icono_HOME.png
69,Bellsprout,139,61,137,Grass,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/5c/latest/20230319125229/Bellsprout_icono_HOME.png/48px-Bellsprout_icono_HOME.png
70,Weepinbell,172,92,163,Grass,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4a/latest/20230917181234/Weepinbell_icono_HOME.png/48px-Weepinbell_icono_HOME.png
71,Victreebel,207,135,190,Grass,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/24/latest/20230917181230/Victreebel_icono_HOME.png/48px-Victreebel_icono_HOME.png
72,Tentacool,97,149,120,Water,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8b/latest/20231230143503/Tentacool_icono_HOME.png/48px-Tentacool_icono_HOME.png
73,Tentacruel,166,209,190,Water,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c7/latest/20231230143548/Tentacruel_icono_HOME.png/48px-Tentacruel_icono_HOME.png
74,Geodude,132,132,120,Rock,Electric,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e6/latest/20230917181259/Geodude_icono_HOME.png/48px-Geodude_icono_HOME.png
75,Graveler,164,164,146,Rock,Electric,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/ee/latest/20230917181229/Graveler_icono_HOME.png/48px-Graveler_icono_HOME.png
76,Golem,211,198,190,Rock,Electric,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/b5/latest/20230917181228/Golem_icono_HOME.png/48px-Golem_icono_HOME.png
77,Ponyta,170,127,137,Psychic,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8d/latest/20230319132527/Ponyta_icono_HOME.png/48px-Ponyta_icono_HOME.png
78,Rapidash,207,162,163,Psychic,Fairy,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/5d/latest/20230319124525/Rapidash_icono_HOME.png/48px-Rapidash_icono_HOME.png
79,Slowpoke,109,98,207,Water,Psychic,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/52/latest/20230319131348/Slowpoke_icono_HOME.png/48px-Slowpoke_icono_HOME.png
80,Slowbro,177,180,216,Water,Psychic,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/6d/latest/20230319132410/Slowbro_icono_HOME.png/48px-Slowbro_icono_HOME.png
81,Magnemite,165,121,93,Electric,Steel,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a6/latest/20230319124534/Magnemite_icono_HOME.png/48px-Magnemite_icono_HOME.png
82,Magneton,223,169,137,Electric,Steel,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/54/latest/20230319131807/Magneton_icono_HOME.png/48px-Magneton_icono_HOME.png
83,Farfetch’d,174,114,141,Fighting,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a2/latest/20230319125457/Farfetch%E2%80%99d_icono_HOME.png/48px-Farfetch%E2%80%99d_icono_HOME.png
84,Doduo,158,83,111,Normal,Flying,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/84/latest/20231230143705/Doduo_icono_HOME.png/48px-Doduo_icono_HOME.png
85,Dodrio,218,140,155,Normal,Flying,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f0/latest/20231230143638/Dodrio_icono_HOME.png/48px-Dodrio_icono_HOME.png
86,Seel,85,121,163,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e1/latest/20231230143456/Seel_icono_HOME.png/48px-Seel_icono_HOME.png
87,Dewgong,139,177,207,Water,Ice,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/1b/latest/20231230143712/Dewgong_icono_HOME.png/48px-Dewgong_icono_HOME.png
88,Grimer,135,90,190,Poison,Dark,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/79/latest/20230319125539/Grimer_icono_HOME.png/48px-Grimer_icono_HOME.png
89,Muk,190,172,233,Poison,Dark,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/37/latest/20230319124405/Muk_icono_HOME.png/48px-Muk_icono_HOME.png
90,Shellder,116,134,102,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/d7/latest/20230319132040/Shellder_icono_HOME.png/48px-Shellder_icono_HOME.png
91,Cloyster,186,256,137,Water,Ice,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/44/latest/20230319130817/Cloyster_icono_HOME.png/48px-Cloyster_icono_HOME.png
92,Gastly,186,67,102,Ghost,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/fa/latest/20230319131547/Gastly_icono_HOME.png/48px-Gastly_icono_HOME.png
93,Haunter,223,107,128,Ghost,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/53/latest/20230319132518/Haunter_icono_HOME.png/48px-Haunter_icono_HOME.png
94,Gengar,261,149,155,Ghost,Poison,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/61/latest/20230319125724/Gengar_icono_HOME.png/48px-Gengar_icono_HOME.png
95,Onix,85,232,111,Rock,Ground,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f8/latest/20230319124512/Onix_icono_HOME.png/48px-Onix_icono_HOME.png
96,Drowzee,89,136,155,Psychic,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/0d/latest/20230319124717/Drowzee_icono_HOME.png/48px-Drowzee_icono_HOME.png
97,Hypno,144,193,198,Psychic,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/58/latest/20230319131126/Hypno_icono_HOME.png/48px-Hypno_icono_HOME.png
98,Krabby,181,124,102,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/9d/latest/20230319130830/Krabby_icono_HOME.png/48px-Krabby_icono_HOME.png
99,Kingler,240,181,146,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/1d/latest/20230319125309/Kingler_icono_HOME.png/48px-Kingler_icono_HOME.png
100,Voltorb,109,111,120,Electric,Grass,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4b/latest/20230319132338/Voltorb_icono_HOME.png/48px-Voltorb_icono_HOME.png
101,Electrode,176,176,155,Electric,Grass,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4a/latest/20230319130951/Electrode_icono_HOME.png/48px-Electrode_icono_HOME.png
102,Exeggcute,107,125,155,Grass,Psychic,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/06/latest/20231230143703/Exeggcute_icono_HOME.png/48px-Exeggcute_icono_HOME.png
103,Exeggutor,230,153,216,Grass,Dragon,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f8/latest/20231230143532/Exeggutor_icono_HOME.png/48px-Exeggutor_icono_HOME.png
104,Cubone,90,144,137,Ground,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/9/92/latest/20230319124418/Cubone_icono_HOME.png/48px-Cubone_icono_HOME.png
105,Marowak,144,186,155,Fire,Ghost,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e0/latest/20230319132235/Marowak_icono_HOME.png/48px-Marowak_icono_HOME.png
106,Hitmonlee,224,181,137,Fighting,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/0e/latest/20231230143716/Hitmonlee_icono_HOME.png/48px-Hitmonlee_icono_HOME.png
107,Hitmonchan,193,197,137,Fighting,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e1/latest/20231230143512/Hitmonchan_icono_HOME.png/48px-Hitmonchan_icono_HOME.png
108,Lickitung,108,137,207,Normal,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e5/latest/20230319130031/Lickitung_icono_HOME.png/48px-Lickitung_icono_HOME.png
109,Koffing,119,141,120,Poison,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/12/latest/20230319130743/Koffing_icono_HOME.png/48px-Koffing_icono_HOME.png
110,Weezing,174,197,163,Poison,Fairy,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/5e/latest/20230917181233/Weezing_icono_HOME.png/48px-Weezing_icono_HOME.png
111,Rhyhorn,140,127,190,Ground,Rock,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/e/e3/latest/20231230143653/Rhyhorn_icono_HOME.png/48px-Rhyhorn_icono_HOME.png
112,Rhydon,222,171,233,Ground,Rock,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/77/latest/20231230143518/Rhydon_icono_HOME.png/48px-Rhydon_icono_HOME.png
113,Chansey,60,128,487,Normal,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/1a/latest/20230319125214/Chansey_icono_HOME.png/48px-Chansey_icono_HOME.png
114,Tangela,183,169,163,Grass,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/ad/latest/20230319130955/Tangela_icono_HOME.png/48px-Tangela_icono_HOME.png
115,Kangaskhan,181,165,233,Normal,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c2/latest/20230319131455/Kangaskhan_icono_HOME.png/48px-Kangaskhan_icono_HOME.png
116,Horsea,129,103,102,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/6/6e/latest/20231230143628/Horsea_icono_HOME.png/48px-Horsea_icono_HOME.png
117,Seadra,187,156,146,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/3c/latest/20231230143514/Seadra_icono_HOME.png/48px-Seadra_icono_HOME.png
118,Goldeen,123,110,128,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/ce/latest/20230319124912/Goldeen_icono_HOME.png/48px-Goldeen_icono_HOME.png
119,Seaking,175,147,190,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/f/f0/latest/20230319131854/Seaking_icono_HOME.png/48px-Seaking_icono_HOME.png
120,Staryu,137,112,102,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/33/latest/20230319131101/Staryu_icono_HOME.png/48px-Staryu_icono_HOME.png
121,Starmie,210,184,155,Water,Psychic,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/ae/latest/20230319132434/Starmie_icono_HOME.png/48px-Starmie_icono_HOME.png
122,Mr. Mime,183,169,137,Ice,Psychic,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/78/latest/20230319132115/Mr._Mime_icono_HOME.png/48px-Mr._Mime_icono_HOME.png
123,Scyther,218,170,172,Bug,Flying,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/30/latest/20230319125341/Scyther_icono_HOME.png/48px-Scyther_icono_HOME.png
124,Jynx,223,151,163,Ice,Psychic,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/8/8f/latest/20230319130532/Jynx_icono_HOME.png/48px-Jynx_icono_HOME.png
125,Electabuzz,198,158,163,Electric,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/0d/latest/20231230143505/Electabuzz_icono_HOME.png/48px-Electabuzz_icono_HOME.png
126,Magmar,206,154,163,Fire,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/aa/latest/20231230143546/Magmar_icono_HOME.png/48px-Magmar_icono_HOME.png
127,Pinsir,238,182,163,Bug,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/c/c2/latest/20230319125436/Pinsir_icono_HOME.png/48px-Pinsir_icono_HOME.png
128,Tauros,198,183,181,Normal,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2c/latest/20230319124519/Tauros_icono_HOME.png/48px-Tauros_icono_HOME.png
129,Magikarp,29,85,85,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/0/01/latest/20230319125222/Magikarp_icono_HOME.png/48px-Magikarp_icono_HOME.png
130,Gyarados,237,186,216,Water,Flying,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/48/latest/20230319131139/Gyarados_icono_HOME.png/48px-Gyarados_icono_HOME.png
131,Lapras,165,174,277,Water,Ice,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4d/latest/20231230143516/Lapras_icono_HOME.png/48px-Lapras_icono_HOME.png
132,Ditto,91,91,134,Normal,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/1e/latest/20230319130336/Ditto_icono_HOME.png/48px-Ditto_icono_HOME.png
133,Eevee,104,114,146,Normal,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/d/db/latest/20230319132749/Eevee_icono_HOME.png/48px-Eevee_icono_HOME.png
134,Vaporeon,205,161,277,Water,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/7/75/latest/20230319131930/Vaporeon_icono_HOME.png/48px-Vaporeon_icono_HOME.png
135,Jolteon,232,182,163,Electric,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a8/latest/20230319130359/Jolteon_icono_HOME.png/48px-Jolteon_icono_HOME.png
136,Flareon,246,179,163,Fire,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/1/11/latest/20230319124345/Flareon_icono_HOME.png/48px-Flareon_icono_HOME.png
137,Porygon,153,136,163,Normal,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/5/54/latest/20231230143540/Porygon_icono_HOME.png/48px-Porygon_icono_HOME.png
138,Omanyte,155,153,111,Rock,Water,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/b/bd/latest/20230319132629/Omanyte_icono_HOME.png/48px-Omanyte_icono_HOME.png
139,Omastar,207,201,172,Rock,Water,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/3/35/latest/20230319130256/Omastar_icono_HOME.png/48px-Omastar_icono_HOME.png
140,Kabuto,148,140,102,Rock,Water,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4e/latest/20230319132002/Kabuto_icono_HOME.png/48px-Kabuto_icono_HOME.png
141,Kabutops,220,186,155,Rock,Water,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/4/4d/latest/20230319125050/Kabutops_icono_HOME.png/48px-Kabutops_icono_HOME.png
142,Aerodactyl,221,159,190,Rock,Flying,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/2/2d/latest/20230319125757/Aerodactyl_icono_HOME.png/48px-Aerodactyl_icono_HOME.png
143,Snorlax,190,169,330,Normal,Null,https://images.wikidexcdn.net/mwuploads/wikidex/thumb/a/a3/latest/20230319130558/Snorlax_icono_HOME.png/48px-Snorlax_icono_HOME.png
